#jd0_246080050-Nast_20000-obj_2024_YR4-orbit_57
date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact
2032-12-22 14:08:05.961,2463589.0889578825,38.87063706879746,10.149921208217549,0.6587223951744136,5967923.983664208,-1365968.7627676544,1788475.399640025,-9512.685959969618,14132.945784785028,-3236.710348758752,4889091.772616151,3940864.5560878282,1116691.4436301384,-9512.685959969618,14132.945784785028,-3236.710348758752,-9225.313550736148,13776.427548326019,-3236.710348758752,16892.97664668468,92.96498797006433
2032-12-22 14:08:08.111,2463589.088982771,39.02944916926736,10.21516486980415,0.6671301581122251,5972469.688151425,-1346754.035044614,1787873.313177553,-9518.424369773767,14128.842043106033,-3237.7646555073866,4877165.015504753,3953602.7026104284,1123796.5439602677,-9518.424369773767,14128.842043106033,-3237.7646555073866,-9230.123080137717,13773.19351959368,-3237.7646555073866,16893.168789990857,93.08481528516704
2032-12-22 14:08:09.009,2463589.088993159,39.10244412966844,10.214418545679834,0.6670336895312245,5975085.516107321,-1339456.8700670719,1784611.9912192747,-9520.96266986411,14127.303486941051,-3237.03038127454,4872135.447492775,3959822.1866137395,1123715.276417898,-9520.96266986411,14127.303486941051,-3237.03038127454,-9232.207848248774,13772.021725355284,-3237.03038127454,16893.21194581476,93.14784867304292
2032-12-22 14:08:11.629,2463589.089023487,39.248809664619245,10.252444716523915,0.6719574811549885,5979692.660055133,-1322557.7701697685,1781782.3174045002,-9526.281218352256,14123.706349453787,-3237.0990573086738,4861428.978304137,3971785.6608601427,1127855.7283002003,-9526.281218352256,14123.706349453787,-3237.0990573086738,-9236.65400633424,13769.205316005548,-3237.0990573086738,16893.359718359,93.26356594559809
2032-12-22 14:08:14.391,2463589.0890554567,39.53895847396771,10.310914158649117,0.6795625445712128,5988657.505576635,-1290825.383941177,1774931.7451222586,-9536.445728128456,14116.948573664424,-3236.6575671268133,4840368.866141076,3995622.9931848175,1134221.1983532754,-9536.445728128456,14116.948573664424,-3236.6575671268133,-9245.080270219889,13763.983267994921,-3236.6575671268133,16893.628882252993,93.49841824839562
2032-12-22 14:08:26.701,2463589.089197923,40.44287897327185,10.512752050786004,0.7061333755579075,6015571.106456168,-1189276.4540201707,1754752.7945132111,-9568.7326672682,14095.266370014731,-3235.944786429746,4773681.55688772,4068885.5345140267,1156186.183632008,-9568.7326672682,14095.266370014731,-3235.944786429746,-9272.024819965452,13747.163980198511,-3235.944786429746,16894.564227033043,94.22172313745774
2032-12-22 14:08:27.510,2463589.0892072907,40.479496092113365,10.52956152005361,0.7083684650181539,6016501.103231717,-1184611.11979978,1754720.0803624615,-9570.109305534927,14094.26095104691,-3236.251966079339,4770823.600389427,4071716.5132089136,1158014.8534445122,-9570.109305534927,14094.26095104691,-3236.251966079339,-9273.195019985835,13746.366966729714,-3236.251966079339,16894.616818698207,94.24853695815163
2032-12-22 14:08:29.413,2463589.0892293165,40.64578806420753,10.561957728351857,0.7126856876467749,6021287.160530119,-1166262.6667300207,1750589.590222652,-9575.995462737497,14090.33541359155,-3235.948288238533,4758491.556633973,4085121.4266479546,1161538.904106954,-9575.995462737497,14090.33541359155,-3235.948288238533,-9278.103675369777,13743.340696192652,-3235.948288238533,16894.791582813006,94.3827872888106
2032-12-22 14:08:39.378,2463589.0893446524,41.39062858192367,10.730659376403372,0.7353720637306105,6041724.431013017,-1082212.1287680152,1734074.5078620012,-9602.658551920998,14072.295002639523,-3235.497234306572,4702414.81753901,4144369.5797247067,1179884.4270567435,-9602.658551920998,14072.295002639523,-3235.497234306572,-9300.446320587247,13729.38946602477,-3235.497234306572,16895.64675367955,94.97622456888452
2032-12-22 14:08:40.525,2463589.0893579307,41.47487448729398,10.74638245504637,0.7375039210350555,6044027.211132063,-1072845.489600822,1731868.7067175026,-9605.671055253782,14070.285418267686,-3235.311295827487,4696074.7300285185,4151066.122538079,1181593.7402818543,-9605.671055253782,14070.285418267686,-3235.311295827487,-9302.970504259605,13727.84220817969,-3235.311295827487,16895.74357868611,95.04414811635971
2032-12-22 14:08:41.798,2463589.089372664,41.63737937358035,10.775237079187068,0.7414239999823236,6048341.141746831,-1055220.7316748428,1727631.39334328,-9611.351350433428,14066.493477433272,-3234.928722582476,4683839.8725581225,4163975.203693917,1184730.4090070112,-9611.351350433428,14066.493477433272,-3234.928722582476,-9307.709454285174,13724.94244732707,-3234.928722582476,16895.924488113073,95.17597848554468
2032-12-22 14:08:44.931,2463589.089408929,41.84017454773414,10.826006173641666,0.7483456238607388,6053543.529782143,-1031875.5272455197,1723506.663774042,-9618.695811180674,14061.464278148369,-3234.9919673315785,4668293.377771743,4179829.7548435577,1190248.608630123,-9618.695811180674,14061.464278148369,-3234.9919673315785,-9313.897782793836,13721.046916453834,-3234.9919673315785,16896.1828062009,95.3356496039299
2032-12-22 14:08:49.002,2463589.089456037,42.07546042535827,10.883759434901517,0.7562571336755456,6059536.887786059,-1004650.2869719797,1718523.231503188,-9627.282662649179,14055.589337641042,-3235.006097651682,4650202.213812963,4198163.797522959,1196524.8391009744,-9627.282662649179,14055.589337641042,-3235.006097651682,-9321.147694628718,13716.491204582426,-3235.006097651682,16896.484538575263,95.52081812099098
