t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240933006.9860555,3,452,-2082606410.5804012,147134157973.04904,-10348961.808151297,-30266.464779973827,-524.5365944672523,-0.378193297279064,-2079881454.1857903,147123255064.84207,-6662217.261911765,-37252.283337111774,13141.931749401105,-2738.950354923398,0.927194532567636
240933135.89364073,3,745,-2086507986.9757967,147134090305.485,-10349010.573893435,-30266.457125396828,-525.3250400957398,-0.37840673235160033,-2081217782.8202162,147123399980.88263,-6685499.268858271,-37417.291149975084,12937.253502504349,-2683.737909394804,0.9781543219820964
240933198.54085988,3,370,-2088404096.2318392,147134057383.32968,-10349034.283271326,-30266.453397983696,-525.7082135895782,-0.3785104340871062,-2082249605.1070714,147123638827.18494,-6731427.034322698,-37475.82125816298,12879.867305103639,-2669.9700584776156,0.9900831996298591
240933198.54085988,3,808,-2088404096.2318392,147134057383.32968,-10349034.283271326,-30266.453397983696,-525.7082135895782,-0.3785104340871062,-2082975617.9506917,147123947912.5206,-6796981.766078746,-37485.13074188472,12988.493629207602,-2704.459194859922,0.941650068493488
240933258.5170745,3,959,-2090219363.4290204,147134025842.3403,-10349056.987871202,-30266.449824956308,-526.0750504424528,-0.3786096993419951,-2083969710.4426024,147124179782.0539,-6841963.0028094305,-37542.52300406828,12926.935625989387,-2689.3018961399944,0.9546645541387169
240933258.5170745,3,477,-2090219363.4290204,147134025842.3403,-10349056.987871202,-30266.449824956308,-526.0750504424528,-0.3786096993419951,-2083578776.858089,147124015834.0064,-6807703.997804195,-37533.379342028966,12868.416647405902,-2670.489404257657,0.9817546538299663
240933258.5170745,3,430,-2090219363.4290204,147134025842.3403,-10349056.987871202,-30266.449824956308,-526.0750504424528,-0.3786096993419951,-2083926392.998832,147124171990.35327,-6840259.63994301,-37542.77590182963,12921.35441884007,-2687.570303952156,0.9569430763335799
240933319.52041486,3,242,-2092065717.8582923,147133993738.6242,-10349080.087406779,-30266.44618618808,-526.4481697873099,-0.3787106494239702,-2085193178.1726022,147124511841.0483,-6909038.697327764,-37600.00251946765,12891.341746998924,-2682.4900784332985,0.9568163421705566
240933380.93679962,3,125,-2093924573.450145,147133961394.54544,-10349103.349566327,-30266.442518146137,-526.8238156792814,-0.3788122675922675,-2086130062.3455446,147124704418.3067,-6943696.652232308,-37637.56951005408,12804.104739204455,-2658.9197812100115,0.9855156571883869
240933515.2100271,3,88,-2097988545.832692,147133890601.07434,-10349154.228824757,-30266.43448258792,-527.6450823831838,-0.37903437911260046,-2089128161.0867307,147125537876.09363,-7113477.632791745,-37744.96903918311,12740.44876224479,-2648.364361633804,0.9876995799505016
