#jd0_246080050-Nast_20000-obj_2024_YR4-orbit_57
date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact
2032-12-22 13:55:34.638,2463589.0802620137,-85.02974833803022,5.206242631097704,0.17462041156103766,-5218716.362780005,-3084846.699880058,1982259.3054039008,-4945.418880423621,16178.082746048658,-3801.4195467764653,550342.7491366387,-6328287.735177506,574916.3330813339,-4945.418880423621,16178.082746048658,-3801.4195467764653,-5406.884953895053,16137.951115165974,-3801.4195467764653,17438.998298949326,15.298760831516313
2032-12-22 13:55:32.703,2463589.0802396215,-84.60657828963458,5.123383919327758,0.1691207208902466,-5193062.261927279,-3123555.35736394,1989004.2393114103,-4965.854803270082,16173.095661434603,-3796.014466024711,597143.2336539841,-6324866.260937469,565790.0056780349,-4965.854803270082,16173.095661434603,-3796.014466024711,-5427.071378875881,16129.551284998848,-3796.014466024711,17436.31997392485,15.03194691516597
2032-12-22 13:55:31.877,2463589.080230059,-84.26706353935081,5.082652872733457,0.16644923454861787,-5171861.938349727,-3153477.110149903,1997012.2175838144,-4982.379725569992,16168.68493782881,-3793.1599077449264,634651.2308231383,-6321612.766404059,561303.338330443,-4982.379725569992,16168.68493782881,-3793.1599077449264,-5443.359052584984,16122.405434783497,-3793.1599077449264,17434.16693922078,14.810076002695062
2032-12-22 13:55:29.851,2463589.08020661,-83.9328057965521,5.037336781468079,0.16350182529723967,-5151182.220250404,-3182660.9864021153,2004151.2842545167,-4998.340414137759,16164.484478949016,-3790.0671183668264,671566.2727064159,-6318239.317898932,556311.2922530386,-4998.340414137759,16164.484478949016,-3790.0671183668264,-5459.07374537935,16115.513088280577,-3790.0671183668264,17432.035366467055,14.594752626995268
2032-12-22 13:55:27.359,2463589.080177765,-83.39946955281492,4.9550646447638,0.15821754604617197,-5117705.18987471,-3229743.626691278,2014567.270196142,-5023.848329381237,16157.863481588683,-3784.578830636328,730439.9646076001,-6312496.292788673,547247.2954728059,-5023.848329381237,16157.863481588683,-3784.578830636328,-5484.162872578039,16104.598953096976,-3784.578830636328,17428.63123651299,14.259764011679898
2032-12-22 13:55:25.330,2463589.0801542774,-82.83138298917663,4.870470660156255,0.15287399402836155,-5081359.559526046,-3279646.5376938856,2025915.892966627,-5051.015138885794,16150.719462727877,-3778.9259114592714,793090.6259495736,-6305733.428503938,537926.3689836047,-5051.015138885794,16150.719462727877,-3778.9259114592714,-5510.836526183639,16092.886375425363,-3778.9259114592714,17424.999057531375,13.907854555720839
2032-12-22 13:55:22.634,2463589.080123082,-82.07447833929898,4.772081739732212,0.14677372174593292,-5032038.40149269,-3344925.870493449,2042227.2247660253,-5087.0136751361915,16140.990240534895,-3772.2252166093485,876446.0084583233,-6295606.11832848,527084.0425316258,-5087.0136751361915,16140.990240534895,-3772.2252166093485,-5546.096567242752,16077.078782166034,-3772.2252166093485,17420.14157192698,13.442525491206853
2032-12-22 13:55:21.623,2463589.0801113797,-81.82733065375861,4.729164364583468,0.14415141694641073,-5015860.850308922,-3366596.945014561,2046410.6457223785,-5098.67736221978,16137.959469948493,-3769.446336753027,903649.6290308742,-6292153.454499921,522354.13633479923,-5098.67736221978,16137.959469948493,-3769.446336753027,-5557.508482079777,16072.064292049934,-3769.446336753027,17418.54979100832,13.29821734788281
2032-12-22 13:55:18.902,2463589.080079883,-81.25424688409288,4.64431873973913,0.13903634525777145,-4977984.886964743,-3415758.6232048064,2057399.1066202046,-5125.562685393653,16130.754226884264,-3763.838190571097,966654.5377634428,-6283553.057048823,513002.5093922273,-5125.562685393653,16130.754226884264,-3763.838190571097,-5583.7666543072755,16060.264658044753,-3763.838190571097,17414.850813630208,12.962156207477811
2032-12-22 13:55:19.002,2463589.0800810405,-80.94975754905727,4.608699959623078,0.13691636311121488,-4957140.741723926,-3441789.9856779454,2064332.568167438,-5140.1132501901675,16126.702144649547,-3761.374847367413,1000083.3201606177,-6278638.885574492,509076.3086781893,-5140.1132501901675,16126.702144649547,-3761.374847367413,-5597.958872026425,16053.774910267743,-3761.374847367413,17412.891004794397,12.783081997838144
2032-12-22 13:55:18.418,2463589.080074277,-80.85862999527875,4.597469469154472,0.13625129510401204,-4951057.110110452,-3449384.9450033857,2066254.7239819497,-5144.336674795014,16125.533099810002,-3760.6109329584497,1010083.8033739984,-6277138.082805945,507838.35057804035,-5144.336674795014,16125.533099810002,-3760.6109329584497,-5602.07285635459,16051.876618605926,-3760.6109329584497,17412.29903992977,12.72989003519277
2032-12-22 13:55:18.701,2463589.080077556,-80.8452661801354,4.597907194920108,0.13627718702707928,-4950041.577476691,-3450518.4566736934,2066795.1887343049,-5145.032051545357,16125.311919879154,-3760.610852922925,1011547.2585101429,-6276898.512307667,507886.602264144,-5145.032051545357,16125.311919879154,-3760.610852922925,-5602.7507633466375,16051.54872183102,-3760.610852922925,17412.214864072237,12.721258426467168
2032-12-22 13:55:14.437,2463589.080028208,-79.96808221294316,4.4617498932860045,0.12834124840507427,-4890630.082805948,-3524984.552061992,2082511.1984445152,-5185.7455173444705,16114.336430208537,-3751.7447941157548,1107728.464698716,-6261840.163491084,492876.25846168725,-5185.7455173444705,16114.336430208537,-3751.7447941157548,-5642.366156903757,16033.559587171592,-3751.7447941157548,17406.519407513082,12.23635571323851
2032-12-22 13:55:11.215,2463589.079990913,-78.98571723021388,4.330238109864251,0.12090078001858648,-4822121.805886364,-3606869.40198359,2101967.1731496593,-5231.299620919256,16101.650214243418,-3742.9940332425613,1215134.3436363726,-6243015.055911028,478375.5108203427,-5231.299620919256,16101.650214243418,-3742.9940332425613,-5686.547511823427,16013.041210076128,-3742.9940332425613,17400.12401486584,11.711148951815574
