t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240933669.4439678,3,513,-2102656656.5737293,147133809147.54538,-10349212.708459696,-30266.42522504517,-528.5884377410263,-0.37928941778851055,-2092688367.4098861,147126529356.06836,-7310637.8456270965,-37854.69764990652,12658.972384872593,-2634.164448041559,0.9965296874778073
240933669.4439678,3,56,-2102656656.5737293,147133809147.54538,-10349212.708459696,-30266.42522504517,-528.5884377410263,-0.37928941778851055,-2093400941.1669803,147126841533.55893,-7379554.430000344,-37921.327704146024,12762.140665818222,-2670.8636269581707,0.9375555111276723
240933803.4666073,3,229,-2106713042.2300348,147133738249.79617,-10349263.556674995,-30266.41715681687,-529.4081739335644,-0.3795109560375896,-2096854156.3519146,147127837327.5791,-7578646.887955217,-38047.99383576652,12717.76532210651,-2670.61599683948,0.9265445980346173
240933803.4666073,3,328,-2106713042.2300348,147133738249.79617,-10349263.556674995,-30266.41715681687,-529.4081739335644,-0.3795109560375896,-2096389311.121513,147127636978.70447,-7536324.921760026,-37994.180279013104,12651.283053186968,-2645.3506384689103,0.9655929381426128
240933803.4666073,3,844,-2106713042.2300348,147133738249.79617,-10349263.556674995,-30266.41715681687,-529.4081739335644,-0.3795109560375896,-2096733233.5256364,147127784767.8908,-7567771.23065665,-38033.60657496378,12699.960737153411,-2663.775865867226,0.9367110296427908
240932734.44437104,3,246,-2074357535.0837417,147134300703.97787,-10348858.79622925,-30266.480896129913,-522.8696335942179,-0.3777418197570263,-2078253296.054524,147123378182.03903,-6694447.4899811,-36617.806053687564,13371.880441780608,-2793.396622559369,0.9531518441882754
240932734.44437104,3,252,-2074357535.0837417,147134300703.97787,-10348858.79622925,-30266.480896129913,-522.8696335942179,-0.3777418197570263,-2077450692.3899083,147123027897.06042,-6621713.882967837,-36699.223570828515,13316.632150148049,-2776.0692158816587,0.9618237385093223
240932734.44437104,3,23,-2074357535.0837417,147134300703.97787,-10348858.79622925,-30266.480896129913,-522.8696335942179,-0.3777418197570263,-2077196901.4537206,147122905698.35376,-6596037.976985246,-36723.620773810784,13295.345644895378,-2769.45286826609,0.9664653020340271
240932734.44437104,3,158,-2074357535.0837417,147134300703.97787,-10348858.79622925,-30266.480896129913,-522.8696335942179,-0.3777418197570263,-2081195982.1588387,147124663309.1795,-6962167.236094698,-36287.96742596339,13484.567230789176,-2830.5877183568437,0.9636685224944026
240932734.44437104,3,988,-2074357535.0837417,147134300703.97787,-10348858.79622925,-30266.480896129913,-522.8696335942179,-0.3777418197570263,-2079142490.1560073,147123774654.37936,-6779622.5200542435,-36521.17768701633,13423.474474921235,-2809.5914983526222,0.9486272275414638
240932878.9619943,3,39,-2078731574.350674,147134225076.23016,-10348913.403881773,-30266.472361804612,-523.7535537221563,-0.3779812576141389,-2077823772.4321709,147122742743.3884,-6559356.0145153925,-37067.867248667164,13174.400685598732,-2740.518560244485,0.9505553101640091
240932878.9619943,3,843,-2078731574.350674,147134225076.23016,-10348913.403881773,-30266.472361804612,-523.7535537221563,-0.3779812576141389,-2077981397.8881493,147122824250.43613,-6576587.012684111,-37059.03208973634,13196.034188571572,-2747.213450128927,0.9432319600663404
240932878.9619943,3,626,-2078731574.350674,147134225076.23016,-10348913.403881773,-30266.472361804612,-523.7535537221563,-0.3779812576141389,-2076760989.3127136,147122291075.3514,-6463744.973190347,-37122.2800861019,13045.288161707762,-2701.303463487573,0.995922149863444
240932878.9619943,3,833,-2078731574.350674,147134225076.23016,-10348913.403881773,-30266.472361804612,-523.7535537221563,-0.3779812576141389,-2078067212.194004,147122859044.5693,-6582847.123605367,-37053.48975568676,13206.168109952363,-2750.429748355172,0.9400970265170917
240932943.10713038,3,931,-2080673021.2172112,147134191467.40402,-10348937.652948735,-30266.468565532996,-524.1458880987926,-0.3780875063046597,-2077645018.4872222,147122472863.081,-6497934.454756487,-37207.257472517595,13004.111612786412,-2692.5677376270264,0.9956956551369419
240933008.40107974,3,55,-2082649238.3572161,147134157230.811,-10348962.343305582,-30266.464696060448,-524.5452492636368,-0.37819564053505506,-2079885980.2439528,147123245056.47424,-6660474.902147637,-37254.25768607069,13137.460154675759,-2737.5696555485933,0.9286025850713548
240933068.78670487,3,442,-2084476897.639783,147134125544.6668,-10348985.183904804,-30266.461112787136,-524.914589575137,-0.3782956304554805,-2080448383.0044265,147123293753.44626,-6666969.633845469,-37342.48732296016,13039.256937147547,-2711.1383189261333,0.9508302073320968
240933068.78670487,3,470,-2084476897.639783,147134125544.6668,-10348985.183904804,-30266.461112787136,-524.914589575137,-0.3782956304554805,-2080300601.252323,147123228895.9025,-6654438.245036784,-37344.45548453996,13017.564712924433,-2704.2515283684793,0.9595614060367799
240933273.79849827,3,360,-2090681877.8624203,147134017802.45047,-10349062.773759626,-30266.44891387052,-526.1685173496834,-0.3786349889151385,-2083950027.917472,147124123623.44724,-6829622.701616267,-37548.54728160654,12869.289638595345,-2671.8591867661903,0.9778666116359882
240933273.79849827,3,166,-2090681877.8624203,147134017802.45047,-10349062.773759626,-30266.44891387052,-526.1685173496834,-0.3786349889151385,-2083659798.08782,147123996277.4725,-6802129.195507573,-37539.83465487,12826.780006400171,-2658.2773686778582,0.9987664002500032
240933273.79849827,3,696,-2090681877.8624203,147134017802.45047,-10349062.773759626,-30266.44891387052,-526.1685173496834,-0.3786349889151385,-2083760075.6975858,147124038610.0766,-6809918.549470469,-37542.66047651626,12841.067682917048,-2662.945580115568,0.9916647550279685
